"id","auxiliar","descripcion","grupo_id/id","name","subgrupo_id/id"
"grp_factura_siif.presupuesto_objeto_gasto_24","000","Retribuciones de técnicos","grp_factura_siif.siif_grupo0","032","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_25","000","Técnicos contratados c/func.alta prioridad","grp_factura_siif.siif_grupo0","033","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_26","000","Contratados","grp_factura_siif.siif_grupo0","034","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_27","001","Contratación Directores y Gerentes Inciso 07","grp_factura_siif.siif_grupo0","034","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_28","000","Retribución cuidadores","grp_factura_siif.siif_grupo0","035","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_29","000","Reincorporados y postergados A.9 L.15783","grp_factura_siif.siif_grupo0","036","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_30","001","Excedentarios reincorporados","grp_factura_siif.siif_grupo0","036","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_31","000","Suplencias","grp_factura_siif.siif_grupo0","037","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_32","000","Personal alta especializacion estratégica A.714-716 L.16736","grp_factura_siif.siif_grupo0","038","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_33","000","Junta Asesora  Ec.y Finan.A4L17060, URSEA y URSEC A5L17598","grp_factura_siif.siif_grupo0","039","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_34","000","Sueldos progresivos","grp_factura_siif.siif_grupo0","041","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_35","001","Sueldos progresivos-TCA Art.169 Ley16.462","grp_factura_siif.siif_grupo0","041","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_36","002","Permanencia en el grado escalafón policial","grp_factura_siif.siif_grupo0","041","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_37","003","Permanencia en el grado escalafón militar","grp_factura_siif.siif_grupo0","041","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_38","004","Diferencia de ascenso a oficial-MDN(inc.final art7L14800)","grp_factura_siif.siif_grupo0","041","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_39","006","Prima por permanencia en el cargo  A2L11021","grp_factura_siif.siif_grupo0","041","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_40","007","Progresivos p/antigüedad docente-UDELAR (Univ. Rep. L12549","grp_factura_siif.siif_grupo0","041","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_41","008","Diferencia de pasividad militar a reincorporados A184L14157","grp_factura_siif.siif_grupo0","041","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_42","000","Compensaciones","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_43","001","Compensaciones congeladas","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_44","002","Compensación diaria por permanencia","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_45","004","Retribución Complementaria obreros y encargados S.C.R.A.","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_46","005","Compensación Personal Superior-MI  L.16.170 A.148","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_47","009","Compensación retribuir oblig.permanenciaA118L16320e inc.1y2A","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_48","010","Prima técnica, con aportes MD (MIsin aportes)","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_49","011","Compensación riesgo de Función Art.141 Ley 16.736","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_50","012","Compensación al cargo escalafón militar","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_51","013","Compensación por dedicacion especial","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_52","014","Compensación por permanencia a la orden","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_53","015","Compensación por asiduidad","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_54","016","Dedicación exclusiva","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_55","018","Compensaciones específicas s/disposiciones marco normativo","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_56","019","Compensación por riesgo de vuelo","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_57","020","Compensación personal p/mantenimiento nivel retribributivo","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_58","022","Compensación mensual L.16.226 A.53","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_59","023","Compensación riesgo especial","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_60","024","Compensación Adicional del 30%sobre sueldos funcionarios MDN","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_61","025","Prima técnica (Suboficial,Mayor,Sargento1ros.)L.16.226 A.54","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_62","026","Compensación docente","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_63","027","Compensación docente acumulable","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_64","028","Retribuciones especiales Docentes UDELAR","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_65","031","Retribución encargados pluviométricos-MDN","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_66","032","Aumento sueldo p/actividad.-ANEP-A2 L11021/A577-L.16736","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_67","033","Retribución complementaria, funciones fuera de residencia","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_68","034","Remuneraciòn complementaria por funciones distintas al cargo","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_69","035","Por desempeño de actividades insalubres","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_70","037","Fondo 5% Ley 16.170 Art.169","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_71","038","Compensación personal transitorias, se absorbe con ascenso","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_72","039","Tareas inspectivas","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_73","040","Asistencia directa al menor","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_74","041","Compensación mensual funcionarios del MSP L.16.226 A.278","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_75","042","Compensación choferes","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_76","044","Compensación Personal  A9 L16462(derg.A15L17296)","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_77","045","Compensación 30% p/tareas Dpto. Médico Forense-A472 L16736","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_78","046","Compensación distribución Fondo de Participación","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_79","049","Compensación por atención directa pacientes","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_80","050","Compensación por tareas en Salas de Seguridad L 15903 A.255","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_81","051","Compensación p/asesoramiento directo-Inc.02 A80 L16736","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_82","052","Adecuación de retribuciones c/recursos DNLQ A176L16.320","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_83","053","Compensación funcionarios DGIA - inc4A106L17296","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_84","054","Compensación 30% operativa aeroportuaria MDN L.16.226 A.91","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_85","055","Compensación 30% retrib.personal DGIA A118L16170yA92L16226","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_86","056","Incremento 30% a funcionarios-TCA -L.16.320 A.415","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_87","057","Aumento 30% funcionarios-P.J. A390L16320yA150L1646","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_88","058","Retribucion adicional según escala L.16.320 A.392","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_89","060","Compensación mensual 6,95% funcionarios ASSE L.16.462 A.103","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_90","061","Compensación mensual s/escala MSP L.16.462 A.103","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_91","063","Compensación mensual-INAME L.16.462 A.215","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_92","064","Compensación mensual porcentual- INAME L.16.462 A.216","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_93","065","Retribución porcentual -Corte Electoral- L.16.462 A.163","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_94","066","Compensación extraordinaria personal obrero - MTOP","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_95","067","Compensensación mensual p/equipo-L16462:A28MDN y inc.3A36MI","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_96","068","Compensación 15%-Serv. Informáticos -T.C.A L.16.462 A.174","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_97","070","Planificación desarrollo p/el Sector Público Art.90 L.16736","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_98","071","Partidas asignadas funcionarios-INAME Arts. 597 y 617 L16736","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_99","073","Servicios de pagaduria de Alquileres Dec706/87art.5 inc3","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_100","074","Partida p/elaboración Pto y Rendición Cuentas A.100 L.15903","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_101","075","Compensación personal excedentario","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_102","077","Trabajos extraordinario-MVOTMA L.16.170 A.446 L.16736 A456","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_103","078","Compensación Fiscal de Corte y Procurador General Nación","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_104","079","Compensación  funcionarios UDELAR","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_105","080","Retribución Jueces Militares situación retiro.A.168 L.15809","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_106","081","Guardias médicas","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_107","082","Diferencia por superar equiparación","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_108","084","INAME-  A.603 Ley16736 y Res.31/12/96","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_109","085","Compensación retribución situación p/Reestructara o Ptación.","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_110","086","Compensación por reestructura reforma del Estado - MSP","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_111","087","Incentivo al rendimiento L16170 A19","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_112","088","Compens. desemp.secretar./asesoram.pers.espec.","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_113","090"," Mayor Resp.y Espec.Ref.Estado. D468/97A12litC)1;(042102)","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_114","091","Jefes Casa Militar","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_115","093","Prima Técnica,  sin aportes.","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_116","094","Prima Técnica Altos Ejecutivos","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_117","096","Complemento Adscrip. 85%del titular- A8 y9L16320(reg.042034)","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_118","098","Compens.a la persona c/crédito p/economías PJ 465 L17296","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_119","100"," Distrib.part.reest.Esc.II(no equip) al VI-PJ  i2A458L17296","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_120","101","Comp.pers.trans.(no)absorbe c/n asc,var.t.suel","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_121","102","Compensación (origen 042/090) - A4 L17904","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_122","103","Mayor Resp.y espec. Esc.K-MDN Dto474/005 y CGN 12/01/06","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_123","105","Comp.Personal Transitoria A.7 Ley 17.930","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_124","106","Compens.Personal Func.DGI redistribuidos","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_125","107","Diferencia de Retribución","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_126","108","Comp.Directores Hospitales,Institutos y Centros de Salud","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_127","109","Contribución comisiones de apoyo -A104 L18046 24/10/2006","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_128","112","Servicio de vigilancia s/aportes","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_129","113","Servicio de vigilancia c/aportes","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_130","114","Reintegro aportes por cambio de rég.aportes-Serv.Vig.MI","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_131","116","Comp.p/Especialidades Médicas-MI","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_132","118","Comp.por asiduidad-NO anestésico-quirúrg.-MI","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_133","119","Comp.por asiduidad-anestésico-quirúrg.-MI","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_134","121","Comp.por asiduidad-técnicos-MI","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_135","122","Compensacion por asignación de funciones","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_136","123","Funciona.Otr.Inc.Comisión o del Inc.p/tarea extrA.562 L18719","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_137","124","Compensación p/licencia antiguedad pers.obrero UE005 MTOP","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_138","125","Prima Seguridad Perimetral Estab.Carcelarios MDN A85L18046","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_139","400","Compensación al Cargo","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_140","401","Compensación al cargo Escalaf.A y D equiparados Escalaf.I PJ","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_141","410","Compensación al cargo especial","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_142","411","Compensación al cargo especial SIMPLI Inciso 04","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_143","412","Compensación al cargo SIMPLI Inciso 04","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_144","500","Compensación Especial","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_145","510","Compensación especial por funciones especiales","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_146","511","Comp. especial por funciones especialm.encom. (discrecional)","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_147","512","Comp.alim.-Inc.02","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_148","513","Compensación especial  (discrecional)","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_149","514","Comp.especial mayor responsabilidad originada Provisoriatos","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_150","515","Diferencia por aumento especial MSP","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_151","516","Compensación personal UCA","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_152","517","Compens.por tareas espec.mayor respons.y horario variable","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_153","518","Compens.a la función cargo SIRO","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_154","519","Compensacion Adscriptos calidad func.público","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
"grp_factura_siif.presupuesto_objeto_gasto_155","520","Compensación especial por cumplir condiciones específicas","grp_factura_siif.siif_grupo0","042","grp_factura_siif.siif_subgrupo0_4"
